"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-05",1,"20","inc covid hosp","quantile",0.01,31.388137815854
"2022-12-05",1,"20","inc covid hosp","quantile",0.025,33.5881712066356
"2022-12-05",1,"20","inc covid hosp","quantile",0.05,35.9012046008122
"2022-12-05",1,"20","inc covid hosp","quantile",0.1,38.1771783919311
"2022-12-05",1,"20","inc covid hosp","quantile",0.15,41.083257544025
"2022-12-05",1,"20","inc covid hosp","quantile",0.2,42.9829141568587
"2022-12-05",1,"20","inc covid hosp","quantile",0.25,45.0460789522489
"2022-12-05",1,"20","inc covid hosp","quantile",0.3,46.7454753100623
"2022-12-05",1,"20","inc covid hosp","quantile",0.35,48.2770957112129
"2022-12-05",1,"20","inc covid hosp","quantile",0.4,49.1431185065156
"2022-12-05",1,"20","inc covid hosp","quantile",0.45,50.9189452059603
"2022-12-05",1,"20","inc covid hosp","quantile",0.5,52.5043188403514
"2022-12-05",1,"20","inc covid hosp","quantile",0.55,54.0831343126062
"2022-12-05",1,"20","inc covid hosp","quantile",0.6,55.4977330126525
"2022-12-05",1,"20","inc covid hosp","quantile",0.65,57.1655469555992
"2022-12-05",1,"20","inc covid hosp","quantile",0.7,58.5284662669702
"2022-12-05",1,"20","inc covid hosp","quantile",0.75,60.7185014510749
"2022-12-05",1,"20","inc covid hosp","quantile",0.8,63.4899589564768
"2022-12-05",1,"20","inc covid hosp","quantile",0.85,66.5798990528037
"2022-12-05",1,"20","inc covid hosp","quantile",0.9,71.0041324767188
"2022-12-05",1,"20","inc covid hosp","quantile",0.95,78.4627719469463
"2022-12-05",1,"20","inc covid hosp","quantile",0.975,82.5332555309026
"2022-12-05",1,"20","inc covid hosp","quantile",0.99,89.0566761930925
"2022-12-05",2,"20","inc covid hosp","quantile",0.01,30.7045608559413
"2022-12-05",2,"20","inc covid hosp","quantile",0.025,33.8552721713073
"2022-12-05",2,"20","inc covid hosp","quantile",0.05,36.1747551971089
"2022-12-05",2,"20","inc covid hosp","quantile",0.1,38.4176188619057
"2022-12-05",2,"20","inc covid hosp","quantile",0.15,41.2251772980986
"2022-12-05",2,"20","inc covid hosp","quantile",0.2,43.5994985145668
"2022-12-05",2,"20","inc covid hosp","quantile",0.25,45.3228859317063
"2022-12-05",2,"20","inc covid hosp","quantile",0.3,46.9849856137187
"2022-12-05",2,"20","inc covid hosp","quantile",0.35,48.5678071812873
"2022-12-05",2,"20","inc covid hosp","quantile",0.4,49.8908455489529
"2022-12-05",2,"20","inc covid hosp","quantile",0.45,51.5463257393896
"2022-12-05",2,"20","inc covid hosp","quantile",0.5,52.6562460878181
"2022-12-05",2,"20","inc covid hosp","quantile",0.55,54.3832331713559
"2022-12-05",2,"20","inc covid hosp","quantile",0.6,55.8704369577423
"2022-12-05",2,"20","inc covid hosp","quantile",0.65,57.859484742975
"2022-12-05",2,"20","inc covid hosp","quantile",0.7,59.7574692222704
"2022-12-05",2,"20","inc covid hosp","quantile",0.75,61.7705964202677
"2022-12-05",2,"20","inc covid hosp","quantile",0.8,64.5242762124241
"2022-12-05",2,"20","inc covid hosp","quantile",0.85,68.3820982395841
"2022-12-05",2,"20","inc covid hosp","quantile",0.9,72.3407913847236
"2022-12-05",2,"20","inc covid hosp","quantile",0.95,80.052829960348
"2022-12-05",2,"20","inc covid hosp","quantile",0.975,85.667047157895
"2022-12-05",2,"20","inc covid hosp","quantile",0.99,94.0257261188474
"2022-12-05",3,"20","inc covid hosp","quantile",0.01,29.580527626841
"2022-12-05",3,"20","inc covid hosp","quantile",0.025,33.1058022635122
"2022-12-05",3,"20","inc covid hosp","quantile",0.05,35.9019210455002
"2022-12-05",3,"20","inc covid hosp","quantile",0.1,38.6395291231556
"2022-12-05",3,"20","inc covid hosp","quantile",0.15,41.3378223288076
"2022-12-05",3,"20","inc covid hosp","quantile",0.2,43.1682599216249
"2022-12-05",3,"20","inc covid hosp","quantile",0.25,45.441008588733
"2022-12-05",3,"20","inc covid hosp","quantile",0.3,47.5055175984879
"2022-12-05",3,"20","inc covid hosp","quantile",0.35,48.7374108649113
"2022-12-05",3,"20","inc covid hosp","quantile",0.4,50.1022667609559
"2022-12-05",3,"20","inc covid hosp","quantile",0.45,51.7237886041303
"2022-12-05",3,"20","inc covid hosp","quantile",0.5,53.1483945673936
"2022-12-05",3,"20","inc covid hosp","quantile",0.55,54.7611760724424
"2022-12-05",3,"20","inc covid hosp","quantile",0.6,56.9038879176665
"2022-12-05",3,"20","inc covid hosp","quantile",0.65,58.7488094397327
"2022-12-05",3,"20","inc covid hosp","quantile",0.7,60.5081516556388
"2022-12-05",3,"20","inc covid hosp","quantile",0.75,62.6287721828936
"2022-12-05",3,"20","inc covid hosp","quantile",0.8,65.7592353628321
"2022-12-05",3,"20","inc covid hosp","quantile",0.85,69.0696566877979
"2022-12-05",3,"20","inc covid hosp","quantile",0.9,74.2534646961844
"2022-12-05",3,"20","inc covid hosp","quantile",0.95,80.2822960468227
"2022-12-05",3,"20","inc covid hosp","quantile",0.975,87.6144403458084
"2022-12-05",3,"20","inc covid hosp","quantile",0.99,96.8972883935989
"2022-12-05",4,"20","inc covid hosp","quantile",0.01,28.846166317633
"2022-12-05",4,"20","inc covid hosp","quantile",0.025,32.2643303251929
"2022-12-05",4,"20","inc covid hosp","quantile",0.05,35.6090801100405
"2022-12-05",4,"20","inc covid hosp","quantile",0.1,38.0163568869563
"2022-12-05",4,"20","inc covid hosp","quantile",0.15,41.0180452738317
"2022-12-05",4,"20","inc covid hosp","quantile",0.2,43.9302299955996
"2022-12-05",4,"20","inc covid hosp","quantile",0.25,45.749208245747
