"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-12",-6,"20","inc covid hosp","quantile",0.01,0
"2022-12-12",-6,"20","inc covid hosp","quantile",0.025,0
"2022-12-12",-6,"20","inc covid hosp","quantile",0.05,0
"2022-12-12",-6,"20","inc covid hosp","quantile",0.1,9
"2022-12-12",-6,"20","inc covid hosp","quantile",0.15,16
"2022-12-12",-6,"20","inc covid hosp","quantile",0.2,22
"2022-12-12",-6,"20","inc covid hosp","quantile",0.25,26.6921619216192
"2022-12-12",-6,"20","inc covid hosp","quantile",0.3,31
"2022-12-12",-6,"20","inc covid hosp","quantile",0.35,34.7854033540335
"2022-12-12",-6,"20","inc covid hosp","quantile",0.4,38
"2022-12-12",-6,"20","inc covid hosp","quantile",0.45,41.7727047270473
"2022-12-12",-6,"20","inc covid hosp","quantile",0.5,45
"2022-12-12",-6,"20","inc covid hosp","quantile",0.55,48
"2022-12-12",-6,"20","inc covid hosp","quantile",0.6,52
"2022-12-12",-6,"20","inc covid hosp","quantile",0.65,55
"2022-12-12",-6,"20","inc covid hosp","quantile",0.7,59
"2022-12-12",-6,"20","inc covid hosp","quantile",0.75,63
"2022-12-12",-6,"20","inc covid hosp","quantile",0.8,68
"2022-12-12",-6,"20","inc covid hosp","quantile",0.85,74
"2022-12-12",-6,"20","inc covid hosp","quantile",0.9,81
"2022-12-12",-6,"20","inc covid hosp","quantile",0.95,93
"2022-12-12",-6,"20","inc covid hosp","quantile",0.975,103.282775577756
"2022-12-12",-6,"20","inc covid hosp","quantile",0.99,116
"2022-12-12",-5,"20","inc covid hosp","quantile",0.01,0
"2022-12-12",-5,"20","inc covid hosp","quantile",0.025,0
"2022-12-12",-5,"20","inc covid hosp","quantile",0.05,0
"2022-12-12",-5,"20","inc covid hosp","quantile",0.1,4.41455014550148
"2022-12-12",-5,"20","inc covid hosp","quantile",0.15,13
"2022-12-12",-5,"20","inc covid hosp","quantile",0.2,19
"2022-12-12",-5,"20","inc covid hosp","quantile",0.25,24
"2022-12-12",-5,"20","inc covid hosp","quantile",0.3,29
